dataset,model,seed,method,reject_percent,rejection_rate,accuracy_before_rejection,accuracy_after_rejection,kept_count
tinyimagenet-c,efficientnetv2_s,42,gradient,40,0.4,0.09843333333333333,0.11028444444444445,450000
tinyimagenet-c,efficientnetv2_s,42,gradient,50,0.5,0.09843333333333333,0.11659466666666667,375000
tinyimagenet-c,efficientnetv2_s,42,hybrid,10,0.1,0.09843333333333333,0.10397037037037037,675000
tinyimagenet-c,efficientnetv2_s,42,hybrid,20,0.2,0.09843333333333333,0.111265,600000
tinyimagenet-c,efficientnetv2_s,42,hybrid,30,0.3,0.09843333333333333,0.12043428571428572,525000
tinyimagenet-c,efficientnetv2_s,42,hybrid,40,0.4,0.09843333333333333,0.1319511111111111,450000
tinyimagenet-c,efficientnetv2_s,42,hybrid,50,0.5,0.09843333333333333,0.14694666666666667,375000
tinyimagenet-c,mobilenetv3_small,42,entropy,10,0.1,0.12689733333333333,0.1370311111111111,675000
tinyimagenet-c,mobilenetv3_small,42,entropy,20,0.2,0.12689733333333333,0.147945,600000
tinyimagenet-c,mobilenetv3_small,42,entropy,30,0.3,0.12689733333333333,0.16034666666666667,525000
tinyimagenet-c,mobilenetv3_small,42,entropy,40,0.4,0.12689733333333333,0.17512444444444444,450000
tinyimagenet-c,mobilenetv3_small,42,entropy,50,0.5,0.12689733333333333,0.193112,375000
tinyimagenet-c,mobilenetv3_small,42,gradient,10,0.1,0.12689733333333333,0.12087111111111111,675000
tinyimagenet-c,mobilenetv3_small,42,gradient,20,0.2,0.12689733333333333,0.11767,600000
tinyimagenet-c,mobilenetv3_small,42,gradient,30,0.3,0.12689733333333333,0.11528952380952381,525000
tinyimagenet-c,mobilenetv3_small,42,gradient,40,0.4,0.12689733333333333,0.11344888888888889,450000
tinyimagenet-c,mobilenetv3_small,42,gradient,50,0.5,0.12689733333333333,0.11171733333333334,375000
tinyimagenet-c,mobilenetv3_small,42,hybrid,10,0.1,0.12689733333333333,0.13341777777777777,675000
tinyimagenet-c,mobilenetv3_small,42,hybrid,20,0.2,0.12689733333333333,0.14121166666666668,600000
tinyimagenet-c,mobilenetv3_small,42,hybrid,30,0.3,0.12689733333333333,0.15072761904761905,525000
tinyimagenet-c,mobilenetv3_small,42,hybrid,40,0.4,0.12689733333333333,0.1627377777777778,450000
tinyimagenet-c,mobilenetv3_small,42,hybrid,50,0.5,0.12689733333333333,0.17811466666666667,375000
tinyimagenet-c,shufflenetv2_0_5,42,entropy,10,0.1,0.09590666666666667,0.1032,675000
tinyimagenet-c,shufflenetv2_0_5,42,entropy,20,0.2,0.09590666666666667,0.11062333333333334,600000
tinyimagenet-c,shufflenetv2_0_5,42,entropy,30,0.3,0.09590666666666667,0.11934095238095238,525000
tinyimagenet-c,shufflenetv2_0_5,42,entropy,40,0.4,0.09590666666666667,0.13007777777777776,450000
tinyimagenet-c,shufflenetv2_0_5,42,entropy,50,0.5,0.09590666666666667,0.14333866666666667,375000
tinyimagenet-c,shufflenetv2_0_5,42,gradient,10,0.1,0.09590666666666667,0.09833333333333333,675000
tinyimagenet-c,shufflenetv2_0_5,42,gradient,20,0.2,0.09590666666666667,0.09989333333333333,600000
tinyimagenet-c,shufflenetv2_0_5,42,gradient,30,0.3,0.09590666666666667,0.10171809523809523,525000
tinyimagenet-c,shufflenetv2_0_5,42,gradient,40,0.4,0.09590666666666667,0.10378888888888889,450000
tinyimagenet-c,shufflenetv2_0_5,42,gradient,50,0.5,0.09590666666666667,0.106464,375000
tinyimagenet-c,shufflenetv2_0_5,42,hybrid,10,0.1,0.09590666666666667,0.10222518518518518,675000
tinyimagenet-c,shufflenetv2_0_5,42,hybrid,20,0.2,0.09590666666666667,0.109385,600000
tinyimagenet-c,shufflenetv2_0_5,42,hybrid,30,0.3,0.09590666666666667,0.11749333333333334,525000
tinyimagenet-c,shufflenetv2_0_5,42,hybrid,40,0.4,0.09590666666666667,0.12754222222222222,450000
tinyimagenet-c,shufflenetv2_0_5,42,hybrid,50,0.5,0.09590666666666667,0.140456,375000
tissuemnist,efficientnetv2_s,42,entropy,10,0.1,0.6045896785109983,0.6375728520398571,42552
tissuemnist,efficientnetv2_s,42,entropy,20,0.2,0.6045896785109983,0.6654240693739425,37824
tissuemnist,efficientnetv2_s,42,entropy,30,0.3,0.6045896785109983,0.695824268793812,33096
tissuemnist,efficientnetv2_s,42,entropy,40,0.4,0.6045896785109983,0.727192611393119,28368
tissuemnist,efficientnetv2_s,42,entropy,50,0.5,0.6045896785109983,0.751818950930626,23640
tissuemnist,efficientnetv2_s,42,gradient,10,0.1,0.6045896785109983,0.63186219214138,42552
tissuemnist,efficientnetv2_s,42,gradient,20,0.2,0.6045896785109983,0.6627802453468697,37824
tissuemnist,efficientnetv2_s,42,gradient,30,0.3,0.6045896785109983,0.6976069615663524,33096
tissuemnist,efficientnetv2_s,42,gradient,40,0.4,0.6045896785109983,0.7371333897349126,28368
tissuemnist,efficientnetv2_s,42,gradient,50,0.5,0.6045896785109983,0.7722927241962775,23640
tissuemnist,efficientnetv2_s,42,hybrid,10,0.1,0.6045896785109983,0.6375728520398571,42552
